                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.91662,                0.55231,                  1.234,                0.87198,                0.81486,                0.85854,                0.56925,                 1.2549,                0.73276,                 1.5134,             0.00034674,             0.00034674,             0.00034674
                     66,                0.85739,                0.52166,                 1.2055,                 0.8649,                0.81196,                0.85404,                0.56592,                 1.2499,                0.74661,                 1.5088,             0.00032611,             0.00032611,             0.00032611
                     67,                0.89748,                0.52073,                 1.2315,                0.86635,                0.80875,                0.84952,                0.57076,                 1.2594,                0.72339,                 1.5086,             0.00030548,             0.00030548,             0.00030548
                     68,                0.88202,                0.52601,                 1.2115,                0.88142,                0.79863,                0.85405,                0.56275,                 1.2855,                0.77235,                 1.5453,             0.00028485,             0.00028485,             0.00028485
                     69,                0.85445,                0.50412,                 1.1939,                0.87831,                0.82317,                 0.8608,                0.58118,                  1.253,                0.71946,                 1.5284,             0.00026422,             0.00026422,             0.00026422
                     70,                0.86906,                0.51062,                 1.2023,                0.87678,                0.81151,                0.86144,                0.57552,                 1.2381,                0.71699,                  1.498,             0.00024359,             0.00024359,             0.00024359
                     71,                0.90693,                0.46527,                 1.1577,                0.89177,                0.82725,                0.86677,                0.57538,                 1.2516,                0.71041,                 1.5097,             0.00022296,             0.00022296,             0.00022296
                     72,                0.91101,                0.45938,                 1.1424,                0.88589,                 0.8145,                0.86314,                0.57529,                 1.2554,                0.71574,                 1.5161,             0.00020233,             0.00020233,             0.00020233
                     73,                0.88803,                0.45317,                 1.1353,                0.88106,                0.81084,                 0.8626,                0.58613,                 1.2349,                0.70387,                 1.4944,              0.0001817,              0.0001817,              0.0001817
                     74,                0.90014,                0.45289,                 1.1197,                0.87139,                0.82048,                0.85957,                 0.5786,                  1.241,                 0.7027,                 1.4839,             0.00016107,             0.00016107,             0.00016107
                     75,                0.86448,                0.43399,                  1.123,                0.87084,                0.82247,                0.86771,                0.58429,                 1.2338,                 0.7065,                 1.4983,             0.00014044,             0.00014044,             0.00014044
                     76,                0.85627,                0.43592,                 1.1028,                 0.8787,                0.81093,                0.86562,                0.58513,                 1.2253,                0.70063,                 1.4854,             0.00011982,             0.00011982,             0.00011982
                     77,                0.85439,                0.42972,                 1.1046,                0.88659,                0.81148,                0.86189,                0.58164,                 1.2229,                0.71064,                 1.4897,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     78,                0.85515,                0.43046,                 1.1104,                0.89399,                0.81367,                 0.8597,                0.58293,                 1.2247,                0.71118,                 1.4833,             7.8557e-05,             7.8557e-05,             7.8557e-05
                     79,                0.85924,                0.42439,                 1.0962,                0.89565,                0.81801,                0.85748,                0.58224,                 1.2253,                0.70712,                 1.4869,             5.7928e-05,             5.7928e-05,             5.7928e-05
                     80,                0.84966,                0.42026,                 1.1042,                0.88652,                0.82119,                0.86246,                0.58327,                 1.2193,                0.71134,                 1.4822,             3.7299e-05,             3.7299e-05,             3.7299e-05
